CashReceiptID,ReceiptNumber,ReceiptDate,CustomerID,SalesInvoiceID,Amount,PaymentMethod,ReferenceNumber,DepositDate,RecordedByEmployeeID
1,CR-2024-000001,2024-01-06,129,,2951.3,ACH,DEP00000001,2024-01-06,115
2,CR-2024-000002,2024-01-07,200,,5406.62,Check,DEP00000002,2024-01-07,115
3,CR-2024-000003,2024-01-22,138,,1262.45,Credit Card,DEP00000003,2024-01-22,115
4,CR-2024-000004,2024-01-31,199,82.0,1264.12,Wire Transfer,DEP00000004,2024-01-31,97
5,CR-2024-000005,2024-01-28,118,,2035.78,Credit Card,DEP00000005,2024-01-28,11
6,CR-2024-000006,2024-01-21,199,,2624.62,ACH,DEP00000006,2024-01-21,11
7,CR-2024-000007,2024-01-24,1,,8616.06,ACH,AR00000007,2024-01-24,11
8,CR-2024-000008,2024-01-21,4,,454.95,Credit Card,AR00000008,2024-01-22,115
9,CR-2024-000009,2024-01-24,5,,440.89,Check,AR00000009,2024-01-25,115
10,CR-2024-000010,2024-01-24,9,,376.11,ACH,AR00000010,2024-01-24,115
11,CR-2024-000011,2024-01-22,12,,879.86,Check,AR00000011,2024-01-22,97
12,CR-2024-000012,2024-01-22,13,,224.42,Check,AR00000012,2024-01-24,115
13,CR-2024-000013,2024-01-20,21,17.0,389.27,Wire Transfer,AR00000013,2024-01-22,97
14,CR-2024-000014,2024-01-20,22,,166.95,Wire Transfer,AR00000014,2024-01-22,11
15,CR-2024-000015,2024-01-24,23,,179.51,Credit Card,AR00000015,2024-01-26,115
16,CR-2024-000016,2024-01-21,29,,150.37,ACH,AR00000016,2024-01-21,115
17,CR-2024-000017,2024-01-21,30,,586.96,Wire Transfer,AR00000017,2024-01-22,97
18,CR-2024-000018,2024-01-23,32,,461.51,ACH,AR00000018,2024-01-23,115
19,CR-2024-000019,2024-01-21,34,,1155.95,Credit Card,AR00000019,2024-01-21,115
20,CR-2024-000020,2024-01-24,39,,590.7,Check,AR00000020,2024-01-26,97
21,CR-2024-000021,2024-01-23,43,,612.98,ACH,AR00000021,2024-01-25,11
22,CR-2024-000022,2024-01-23,44,80.0,1619.09,Wire Transfer,AR00000022,2024-01-23,11
23,CR-2024-000023,2024-01-22,49,,843.18,Check,AR00000023,2024-01-23,11
24,CR-2024-000024,2024-01-22,50,48.0,598.02,ACH,AR00000024,2024-01-23,115
25,CR-2024-000025,2024-01-22,55,,1248.68,ACH,AR00000025,2024-01-23,11
26,CR-2024-000026,2024-01-21,56,,47.12,Check,AR00000026,2024-01-21,11
27,CR-2024-000027,2024-01-22,57,,164.17,Check,AR00000027,2024-01-22,115
28,CR-2024-000028,2024-01-23,62,,341.97,Check,AR00000028,2024-01-25,11
29,CR-2024-000029,2024-01-20,72,,750.99,Wire Transfer,AR00000029,2024-01-22,97
30,CR-2024-000030,2024-01-24,78,,373.0,Credit Card,AR00000030,2024-01-25,115
31,CR-2024-000031,2024-01-21,81,8.0,975.34,Wire Transfer,AR00000031,2024-01-21,11
32,CR-2024-000032,2024-01-22,83,52.0,315.64,ACH,AR00000032,2024-01-24,97
33,CR-2024-000033,2024-01-24,93,103.0,123.23,ACH,AR00000033,2024-01-24,11
34,CR-2024-000034,2024-01-24,96,75.0,270.01,Check,AR00000034,2024-01-24,115
35,CR-2024-000035,2024-01-21,99,,256.09,Wire Transfer,AR00000035,2024-01-22,97
36,CR-2024-000036,2024-01-21,101,,862.34,ACH,AR00000036,2024-01-23,115
37,CR-2024-000037,2024-01-22,106,,3681.76,Wire Transfer,AR00000037,2024-01-22,11
38,CR-2024-000038,2024-01-20,107,,711.14,ACH,AR00000038,2024-01-20,115
