GLEntryID,PostingDate,AccountID,Debit,Credit,VoucherType,VoucherNumber,SourceDocumentType,SourceDocumentID,SourceLineID,CostCenterID,Description,CreatedByEmployeeID,CreatedDate,FiscalYear,FiscalPeriod
1824,2026-05-29,2,0.0,9860.58,JournalEntry,JE-2026-000091,JournalEntry,535,,,Utilities cash payment,5,2026-05-29 08:00:00,2026,5
1826,2026-05-29,2,0.0,101954.69,JournalEntry,JE-2026-000092,JournalEntry,536,,,Factory overhead cash payment,4,2026-05-29 08:00:00,2026,5
1884,2026-06-01,2,0.0,7414.75,JournalEntry,JE-2026-000105,JournalEntry,549,,,Cash payment of note principal,5,2026-06-01 08:00:00,2026,6
1886,2026-06-01,2,0.0,1164.2,JournalEntry,JE-2026-000106,JournalEntry,550,,,Cash payment of note interest,5,2026-06-01 08:00:00,2026,6
1888,2026-06-02,2,0.0,4057.5,JournalEntry,JE-2026-000107,JournalEntry,551,,,Cash payment of note principal,5,2026-06-02 08:00:00,2026,6
1890,2026-06-02,2,0.0,1407.92,JournalEntry,JE-2026-000108,JournalEntry,552,,,Cash payment of note interest,5,2026-06-02 08:00:00,2026,6
1892,2026-06-01,2,0.0,17899.53,JournalEntry,JE-2026-000109,JournalEntry,553,,,Office rent cash payment,5,2026-06-01 08:00:00,2026,6
1894,2026-06-01,2,0.0,24151.43,JournalEntry,JE-2026-000110,JournalEntry,554,,,Warehouse rent cash payment,5,2026-06-01 08:00:00,2026,6
1896,2026-06-01,2,0.0,45451.42,JournalEntry,JE-2026-000111,JournalEntry,555,,,Cash settlement of accrued outbound freight,5,2026-06-01 08:00:00,2026,6
1898,2026-06-30,2,0.0,10390.26,JournalEntry,JE-2026-000112,JournalEntry,556,,,Utilities cash payment,5,2026-06-30 08:00:00,2026,6
1900,2026-06-30,2,0.0,133175.68,JournalEntry,JE-2026-000113,JournalEntry,557,,,Factory overhead cash payment,4,2026-06-30 08:00:00,2026,6
183896,2026-05-25,2,1327.54,0.0,CashReceipt,CR-2026-005705,CashReceipt,5705,,,Record cash receipt,98,2026-05-25 12:00:00,2026,5
184318,2026-06-28,2,1998.47,0.0,CashReceipt,CR-2026-005916,CashReceipt,5916,,,Record cash receipt,115,2026-06-28 12:00:00,2026,6
184320,2026-06-13,2,3545.46,0.0,CashReceipt,CR-2026-005917,CashReceipt,5917,,,Record cash receipt,115,2026-06-13 12:00:00,2026,6
184322,2026-06-30,2,1534.5,0.0,CashReceipt,CR-2026-005918,CashReceipt,5918,,,Record cash receipt,98,2026-06-30 12:00:00,2026,6
184324,2026-06-17,2,6641.51,0.0,CashReceipt,CR-2026-005919,CashReceipt,5919,,,Record cash receipt,115,2026-06-17 12:00:00,2026,6
184326,2026-06-13,2,3538.47,0.0,CashReceipt,CR-2026-005920,CashReceipt,5920,,,Record cash receipt,98,2026-06-13 12:00:00,2026,6
184328,2026-06-08,2,2697.47,0.0,CashReceipt,CR-2026-005921,CashReceipt,5921,,,Record cash receipt,115,2026-06-08 12:00:00,2026,6
184330,2026-06-15,2,3547.21,0.0,CashReceipt,CR-2026-005922,CashReceipt,5922,,,Record cash receipt,115,2026-06-15 12:00:00,2026,6
184332,2026-06-13,2,22429.03,0.0,CashReceipt,CR-2026-005923,CashReceipt,5923,,,Record cash receipt,11,2026-06-13 12:00:00,2026,6
184334,2026-06-03,2,11.84,0.0,CashReceipt,CR-2026-005924,CashReceipt,5924,,,Record cash receipt,11,2026-06-03 12:00:00,2026,6
184336,2026-06-17,2,8665.63,0.0,CashReceipt,CR-2026-005925,CashReceipt,5925,,,Record cash receipt,115,2026-06-17 12:00:00,2026,6
184338,2026-06-11,2,28403.66,0.0,CashReceipt,CR-2026-005926,CashReceipt,5926,,,Record cash receipt,115,2026-06-11 12:00:00,2026,6
