PayrollLiabilityRemittanceID,PayrollPeriodID,LiabilityType,RemittanceDate,Amount,AgencyOrVendor,ReferenceNumber,ClearedDate,ApprovedByEmployeeID
1,1,Employee Tax Withholding,2024-01-26,16841.58,Federal and State Tax Agencies,PLR-2024-000001,2024-01-29,5
2,1,Employer Payroll Tax,2024-01-29,9603.91,Payroll Tax Agencies,PLR-2024-000002,2024-01-30,5
3,1,Benefits and Other Deductions,2024-01-31,11852.88,Benefits and Deductions Clearinghouse,PLR-2024-000003,2024-02-01,5
4,2,Employee Tax Withholding,2024-02-09,35883.27,Federal and State Tax Agencies,PLR-2024-000002,2024-02-12,5
5,2,Employer Payroll Tax,2024-02-12,20279.03,Payroll Tax Agencies,PLR-2024-000003,2024-02-13,5
6,2,Benefits and Other Deductions,2024-02-14,25712.76,Benefits and Deductions Clearinghouse,PLR-2024-000004,2024-02-15,5
7,3,Employee Tax Withholding,2024-02-23,29576.8,Federal and State Tax Agencies,PLR-2024-000003,2024-02-26,5
8,3,Employer Payroll Tax,2024-02-26,16766.24,Payroll Tax Agencies,PLR-2024-000004,2024-02-27,5
9,3,Benefits and Other Deductions,2024-02-28,21164.52,Benefits and Deductions Clearinghouse,PLR-2024-000005,2024-02-29,5
10,4,Employee Tax Withholding,2024-03-08,29564.64,Federal and State Tax Agencies,PLR-2024-000004,2024-03-11,5
11,4,Employer Payroll Tax,2024-03-11,16761.48,Payroll Tax Agencies,PLR-2024-000005,2024-03-12,5
12,4,Benefits and Other Deductions,2024-03-13,21158.85,Benefits and Deductions Clearinghouse,PLR-2024-000006,2024-03-14,5
13,5,Employee Tax Withholding,2024-03-22,29183.38,Federal and State Tax Agencies,PLR-2024-000005,2024-03-25,5
14,5,Employer Payroll Tax,2024-03-25,16551.5,Payroll Tax Agencies,PLR-2024-000006,2024-03-26,5
15,5,Benefits and Other Deductions,2024-03-27,20958.67,Benefits and Deductions Clearinghouse,PLR-2024-000007,2024-03-28,5
16,6,Employee Tax Withholding,2024-04-05,30428.77,Federal and State Tax Agencies,PLR-2024-000006,2024-04-08,5
17,6,Employer Payroll Tax,2024-04-08,17262.88,Payroll Tax Agencies,PLR-2024-000007,2024-04-09,5
18,6,Benefits and Other Deductions,2024-04-10,21790.64,Benefits and Deductions Clearinghouse,PLR-2024-000008,2024-04-11,5
19,7,Employee Tax Withholding,2024-04-19,30494.51,Federal and State Tax Agencies,PLR-2024-000007,2024-04-22,5
20,7,Employer Payroll Tax,2024-04-22,17253.28,Payroll Tax Agencies,PLR-2024-000008,2024-04-23,5
21,7,Benefits and Other Deductions,2024-04-24,21687.19,Benefits and Deductions Clearinghouse,PLR-2024-000009,2024-04-25,5
22,8,Employee Tax Withholding,2024-05-03,29994.09,Federal and State Tax Agencies,PLR-2024-000008,2024-05-06,5
23,8,Employer Payroll Tax,2024-05-06,17013.58,Payroll Tax Agencies,PLR-2024-000009,2024-05-07,5
24,8,Benefits and Other Deductions,2024-05-08,21495.23,Benefits and Deductions Clearinghouse,PLR-2024-000010,2024-05-09,5
25,9,Employee Tax Withholding,2024-05-17,30516.68,Federal and State Tax Agencies,PLR-2024-000009,2024-05-20,5
26,9,Employer Payroll Tax,2024-05-20,17280.14,Payroll Tax Agencies,PLR-2024-000010,2024-05-21,5
27,9,Benefits and Other Deductions,2024-05-22,21820.19,Benefits and Deductions Clearinghouse,PLR-2024-000011,2024-05-23,5
28,10,Employee Tax Withholding,2024-05-31,27405.65,Federal and State Tax Agencies,PLR-2024-000010,2024-06-03,5
