PayrollPaymentID,PayrollRegisterID,PaymentDate,PaymentMethod,ReferenceNumber,ClearedDate,RecordedByEmployeeID
2,2,2024-01-18,Direct Deposit,PRPAY-2024-000002,2024-01-22,5
3,3,2024-01-19,Direct Deposit,PRPAY-2024-000003,2024-01-22,5
4,4,2024-01-19,ACH,PRPAY-2024-000004,2024-01-22,5
5,5,2024-01-19,Direct Deposit,PRPAY-2024-000005,2024-01-22,5
6,6,2024-01-19,Direct Deposit,PRPAY-2024-000006,2024-01-22,5
7,7,2024-01-19,Direct Deposit,PRPAY-2024-000007,2024-01-22,5
8,8,2024-01-19,ACH,PRPAY-2024-000008,2024-01-22,5
9,9,2024-01-19,Direct Deposit,PRPAY-2024-000009,2024-01-22,5
10,10,2024-01-19,Direct Deposit,PRPAY-2024-000010,2024-01-22,5
11,11,2024-01-19,ACH,PRPAY-2024-000011,2024-01-22,5
12,12,2024-01-19,Direct Deposit,PRPAY-2024-000012,2024-01-22,5
13,13,2024-01-19,ACH,PRPAY-2024-000013,2024-01-22,5
14,14,2024-01-19,Direct Deposit,PRPAY-2024-000014,2024-01-22,5
15,15,2024-01-19,Direct Deposit,PRPAY-2024-000015,2024-01-22,5
16,16,2024-01-19,Direct Deposit,PRPAY-2024-000016,2024-01-22,5
17,17,2024-01-19,ACH,PRPAY-2024-000017,2024-01-22,5
18,18,2024-01-19,Direct Deposit,PRPAY-2024-000018,2024-01-22,5
19,19,2024-01-19,ACH,PRPAY-2024-000019,2024-01-22,5
20,20,2024-01-19,Direct Deposit,PRPAY-2024-000020,2024-01-22,5
21,21,2024-01-19,Direct Deposit,PRPAY-2024-000021,2024-01-22,5
22,22,2024-01-19,ACH,PRPAY-2024-000022,2024-01-22,5
23,23,2024-01-19,Direct Deposit,PRPAY-2024-000023,2024-01-22,5
24,24,2024-01-19,Direct Deposit,PRPAY-2024-000024,2024-01-22,5
25,25,2024-01-19,ACH,PRPAY-2024-000025,2024-01-22,5
26,26,2024-01-19,ACH,PRPAY-2024-000026,2024-01-22,5
27,27,2024-01-19,Direct Deposit,PRPAY-2024-000027,2024-01-22,5
28,28,2024-01-19,Direct Deposit,PRPAY-2024-000028,2024-01-22,5
29,29,2024-01-19,ACH,PRPAY-2024-000029,2024-01-22,5
30,30,2024-01-19,Direct Deposit,PRPAY-2024-000030,2024-01-22,5
31,31,2024-01-19,Direct Deposit,PRPAY-2024-000031,2024-01-22,5
